date,total_confirm,total_dead,total_heal,total_input,total_severe,total_suspect,today_confirm,today_dead,today_heal,today_input,today_severe,today_storeConfirm,today_suspect,name
2020-03-03,1,0,0,0,0,0,1,0,0,,,,0.0,突尼斯
2020-03-08,2,0,0,0,0,0,1,0,0,0.0,0.0,,0.0,突尼斯
2020-03-09,5,0,0,0,0,0,3,0,0,0.0,0.0,,0.0,突尼斯
2020-03-11,7,0,0,0,0,0,2,0,0,0.0,0.0,,0.0,突尼斯
2020-03-12,13,0,0,0,0,0,6,0,0,0.0,0.0,,0.0,突尼斯
2020-03-13,16,0,0,0,0,0,3,0,0,0.0,0.0,,0.0,突尼斯
2020-03-14,18,0,0,0,0,0,2,0,0,0.0,0.0,,0.0,突尼斯
2020-03-15,20,0,0,0,0,0,2,0,0,0.0,0.0,,0.0,突尼斯
2020-03-17,24,0,0,0,0,0,4,0,0,0.0,0.0,,0.0,突尼斯
2020-03-19,39,0,0,0,0,0,15,0,0,0.0,0.0,,0.0,突尼斯
2020-03-20,54,0,0,0,0,0,15,0,0,0.0,0.0,,0.0,突尼斯
2020-03-21,60,1,0,0,0,0,6,1,0,0.0,0.0,,0.0,突尼斯
2020-03-22,75,3,0,0,0,0,15,2,0,0.0,0.0,,0.0,突尼斯
2020-03-23,89,3,0,0,0,0,14,0,0,0.0,0.0,,0.0,突尼斯
2020-03-24,114,3,0,0,0,0,25,0,0,0.0,0.0,,0.0,突尼斯
2020-03-25,173,5,0,0,0,0,59,2,0,0.0,0.0,,0.0,突尼斯
2020-03-26,197,5,2,0,0,0,24,0,2,0.0,0.0,,0.0,突尼斯
2020-03-27,227,6,2,0,0,0,30,1,0,0.0,0.0,,0.0,突尼斯
2020-03-28,278,6,2,0,0,0,51,0,0,0.0,0.0,,0.0,突尼斯
2020-03-29,362,8,3,0,0,0,84,2,1,0.0,0.0,,0.0,突尼斯
2020-03-31,394,10,3,0,0,0,32,2,0,0.0,0.0,,0.0,突尼斯
2020-04-01,423,12,3,0,0,0,29,2,0,0.0,0.0,,0.0,突尼斯
2020-04-02,455,14,3,0,0,0,32,2,0,0.0,0.0,,0.0,突尼斯
2020-04-03,495,14,3,0,0,0,40,0,0,0.0,0.0,,0.0,突尼斯
2020-04-04,553,19,5,0,0,0,58,5,2,0.0,0.0,,0.0,突尼斯
2020-04-05,574,22,5,0,0,0,21,3,0,0.0,0.0,,0.0,突尼斯
2020-04-06,596,22,5,0,0,0,22,0,0,0.0,0.0,,0.0,突尼斯
2020-04-07,623,23,5,0,0,0,27,1,0,0.0,0.0,,0.0,突尼斯
2020-04-08,628,24,25,0,0,0,5,1,20,0.0,0.0,,0.0,突尼斯
2020-04-09,643,25,25,0,0,0,15,1,0,0.0,0.0,,0.0,突尼斯
2020-04-10,671,25,25,0,0,0,28,0,0,0.0,0.0,,0.0,突尼斯
2020-04-11,685,28,25,0,0,0,14,3,0,0.0,0.0,,0.0,突尼斯
2020-04-12,707,31,43,0,0,0,22,3,18,0.0,0.0,,0.0,突尼斯
2020-04-13,726,34,43,0,0,0,19,3,0,0.0,0.0,,0.0,突尼斯
2020-04-14,747,34,43,0,0,0,21,0,0,0.0,0.0,,0.0,突尼斯
2020-04-15,780,35,43,0,0,0,33,1,0,0.0,0.0,,0.0,突尼斯
2020-04-16,822,37,43,0,0,0,42,2,0,0.0,0.0,,0.0,突尼斯
2020-04-17,864,37,43,0,0,0,42,0,0,0.0,0.0,,0.0,突尼斯
2020-04-18,866,37,43,0,0,0,2,0,0,0.0,0.0,,0.0,突尼斯
2020-04-19,879,38,43,0,0,0,13,1,0,0.0,0.0,,0.0,突尼斯
2020-04-20,884,38,43,0,0,0,5,0,0,0.0,0.0,,0.0,突尼斯
2020-04-21,901,38,170,0,0,0,17,0,127,0.0,0.0,,0.0,突尼斯
2020-04-22,909,38,190,0,0,0,8,0,20,0.0,0.0,,0.0,突尼斯
2020-04-23,918,38,190,0,0,0,9,0,0,0.0,0.0,,0.0,突尼斯
2020-04-24,922,38,194,0,0,0,4,0,4,0.0,0.0,,0.0,突尼斯
2020-04-25,939,38,207,0,0,0,17,0,13,0.0,0.0,,0.0,突尼斯
2020-04-26,949,38,216,0,0,0,10,0,9,0.0,0.0,,0.0,突尼斯
2020-04-27,967,39,279,0,0,0,18,1,63,0.0,0.0,,0.0,突尼斯
2020-04-29,980,40,294,0,0,0,13,1,15,0.0,0.0,,0.0,突尼斯
2020-04-30,994,41,305,0,0,0,14,1,11,0.0,0.0,,0.0,突尼斯
2020-05-01,998,41,316,0,0,0,4,0,11,0.0,0.0,,0.0,突尼斯
2020-05-02,1009,42,323,0,0,0,11,1,7,0.0,0.0,,0.0,突尼斯
2020-05-04,1018,43,406,0,0,0,9,1,83,0.0,0.0,,0.0,突尼斯
2020-05-05,1022,43,482,0,0,0,4,0,76,0.0,0.0,,0.0,突尼斯
2020-05-06,1025,43,591,0,0,0,3,0,109,0.0,0.0,,0.0,突尼斯
2020-05-07,1026,44,600,0,0,0,1,1,9,0.0,0.0,,0.0,突尼斯
2020-05-08,1030,45,638,0,0,0,4,1,38,0.0,0.0,,0.0,突尼斯
2020-05-10,1032,45,660,0,0,0,2,0,22,0.0,0.0,,0.0,突尼斯
2020-05-11,1032,45,660,0,0,0,0,0,0,0.0,,,,突尼斯
2020-05-12,1032,45,727,0,0,0,0,0,67,0.0,0.0,,0.0,突尼斯
2020-05-13,1032,45,759,0,0,0,0,0,32,0.0,0.0,,0.0,突尼斯
2020-05-14,1032,45,770,0,0,0,0,0,11,0.0,0.0,,0.0,突尼斯
2020-05-16,1035,45,802,0,0,0,3,0,32,0.0,0.0,,0.0,突尼斯
2020-05-17,1037,45,807,0,0,0,2,0,5,0.0,0.0,,0.0,突尼斯
2020-05-18,1043,46,816,0,0,0,6,1,9,0.0,0.0,,0.0,突尼斯
2020-05-19,1044,47,826,0,0,0,1,1,10,0.0,0.0,,0.0,突尼斯
2020-05-20,1044,47,826,0,0,0,0,0,0,0.0,0.0,,0.0,突尼斯
2020-05-21,1046,47,883,0,0,0,2,0,57,0.0,0.0,,0.0,突尼斯
2020-05-22,1048,47,903,0,0,0,2,0,20,0.0,0.0,,0.0,突尼斯
2020-05-23,1048,48,914,0,0,0,0,1,11,0.0,0.0,,0.0,突尼斯
2020-05-24,1051,48,917,0,0,0,3,0,3,0.0,0.0,,0.0,突尼斯
2020-05-25,1051,48,919,0,0,0,0,0,2,0.0,0.0,,0.0,突尼斯
2020-05-26,1051,48,919,0,0,0,0,0,0,0.0,,,,突尼斯
2020-05-27,1051,48,929,0,0,0,0,0,10,0.0,0.0,,0.0,突尼斯
2020-05-28,1068,48,938,0,0,0,17,0,9,0.0,0.0,,0.0,突尼斯
2020-05-29,1071,48,946,0,0,0,3,0,8,0.0,0.0,,0.0,突尼斯
2020-05-30,1076,48,950,0,0,0,5,0,4,0.0,0.0,,0.0,突尼斯
2020-05-31,1077,48,960,0,0,0,1,0,10,0.0,0.0,,0.0,突尼斯
2020-06-01,1084,48,964,0,0,0,7,0,4,0.0,0.0,,0.0,突尼斯
2020-06-02,1086,48,965,0,0,0,2,0,1,0.0,0.0,,0.0,突尼斯
2020-06-03,1087,49,965,0,0,0,1,1,0,0.0,0.0,,0.0,突尼斯
2020-06-04,1087,49,968,0,0,0,0,0,3,0.0,0.0,,0.0,突尼斯
2020-06-05,1087,49,969,0,0,0,0,0,1,0.0,0.0,,0.0,突尼斯
2020-06-06,1087,49,977,0,0,0,0,0,8,0.0,0.0,,0.0,突尼斯
2020-06-07,1087,49,982,0,0,0,0,0,5,0.0,0.0,,0.0,突尼斯
2020-06-08,1087,49,982,0,0,0,0,0,0,0.0,,,,突尼斯
2020-06-09,1087,49,982,0,0,0,0,0,0,0.0,,,,突尼斯
2020-06-10,1087,49,983,0,0,0,0,0,1,0.0,0.0,,0.0,突尼斯
